AI #1,AI #2
2.038873,2.62395072
1.980877,2.603406
1.92918146,2.581185
1.88539684,2.558438
1.848433,2.54645634
1.81488776,2.53069448
1.78745663,2.53328037
1.73158717,2.50951123
1.73604047,2.51259875
1.71708465,2.49528646
1.71387422,2.47888923
1.70278561,2.47542667
1.71155131,2.46737337
1.72954834,2.46148372
1.75979,2.45356727
1.79812336,2.44519615
1.83911943,2.43962431
1.88095915,2.44381547
1.92926908,2.446993
2.01612616,2.46455717
2.04173279,2.48059845
2.10829735,2.49190617
2.182751,2.51097178
2.26013017,2.51619816
2.34599018,2.51580381
2.41532683,2.48991752
2.52599382,2.48079586
2.63386679,2.47082472
2.73179626,2.46244264
2.81846738,2.462196
2.88843417,2.46173024
2.94699454,2.47989178
2.987755,2.45252633
3.00946665,2.43658376
3.058741,2.38494277
3.10748935,2.340216
3.1451273,2.32613587
3.16863036,2.28925419
3.20068,2.29452467
3.20819926,2.35099483
3.222211,2.380497
3.2177074,2.41074681
3.216787,2.44019961
3.194407,2.464853
3.1585772,2.48306942
3.12198567,2.49305677
3.078535,2.49945021
3.02896762,2.51453
2.97057986,2.51194143
2.89776969,2.53565812
2.809866,2.577958
2.70750976,2.60836959
2.60335135,2.642523
2.513667,2.69564319
2.35971951,2.71500444
2.288334,2.70691
2.19919753,2.68353
2.11253786,2.65626335
2.03818274,2.63353825
1.97663116,2.609323
1.9285897,2.58792353
1.88030171,2.56392741
1.8333286,2.53148341
1.80075312,2.52780175
1.75201046,2.52232337
1.72850192,2.50318122
1.714696,2.479514
1.70103252,2.48526073
1.71308529,2.468436
1.70796287,2.44784212
1.72610235,2.427807
1.744313,2.41949058
1.7772392,2.4181757
1.81912816,2.4212656
1.86347163,2.43135166
1.91812015,2.44778728
1.98558867,2.479207
2.05540729,2.46958661
2.12897348,2.51580381
2.20595813,2.49986124
2.27899837,2.51987982
2.35185766,2.49764228
2.437515,2.46890736
2.55053782,2.46718144
2.6539185,2.46441483
2.75658679,2.45704627
2.83518243,2.456241
2.896915,2.45702982
2.95381546,2.46215773
3.00966954,2.47131777
3.060023,2.47724557
3.10743451,2.50290179
3.18169665,2.45830631
3.18868184,2.442035
3.21169186,2.44891047
3.2310586,2.43611813
